Date,Open,High,Low,Close,Volume,MarketCap
2021-08-14,"$47,810.69","$48,098.68","$46,177.63","$47,096.95","$31,211,354,442","$884,769,956,069"
2021-08-13,"$44,439.69","$47,831.98","$44,282.42","$47,793.32","$31,744,259,539","$897,802,604,441"
2021-08-12,"$45,576.88","$46,228.91","$43,861.45","$44,428.29","$33,723,620,826","$834,546,790,666"
2021-08-11,"$45,599.70","$46,735.63","$45,351.71","$45,593.64","$34,319,709,073","$856,398,622,622"
2021-08-10,"$46,280.85","$46,637.99","$44,705.56","$45,585.03","$33,546,019,517","$856,195,142,352"
2021-08-09,"$43,791.93","$46,456.83","$42,848.69","$46,365.40","$38,734,079,049","$870,805,373,889"
2021-08-08,"$44,574.44","$45,282.35","$43,331.91","$43,798.12","$36,302,664,750","$822,545,074,286"
2021-08-07,"$42,832.80","$44,689.86","$42,618.57","$44,555.80","$40,030,862,141","$836,730,623,772"
2021-08-06,"$40,865.87","$43,271.66","$39,932.18","$42,816.50","$38,226,483,046","$804,022,903,682"
2021-08-05,"$39,744.51","$41,341.93","$37,458.00","$40,869.55","$35,185,031,017","$767,423,192,906"
2021-08-04,"$38,213.33","$39,952.30","$37,589.17","$39,747.51","$25,372,562,724","$746,313,542,791"
2021-08-03,"$39,178.40","$39,750.03","$37,782.05","$38,152.98","$26,189,830,450","$716,341,544,145"
2021-08-02,"$39,907.26","$40,419.18","$38,746.35","$39,201.95","$25,595,265,436","$735,995,665,489"
2021-08-01,"$41,460.84","$42,541.68","$39,540.94","$39,974.90","$26,688,438,115","$750,472,428,208"
2021-07-31,"$42,196.30","$42,231.45","$41,110.83","$41,626.20","$25,802,845,343","$781,431,379,811"
2021-07-30,"$40,027.48","$42,235.55","$38,397.35","$42,235.55","$33,072,782,960","$792,829,863,258"
2021-07-29,"$39,995.45","$40,593.07","$39,352.06","$40,008.42","$27,167,146,027","$750,980,784,072"
2021-07-28,"$39,503.19","$40,816.07","$38,862.44","$39,995.91","$38,702,404,695","$750,706,646,107"
2021-07-27,"$37,276.04","$39,406.94","$36,441.73","$39,406.94","$35,097,370,560","$739,612,127,373"
2021-07-26,"$35,384.03","$40,499.68","$35,287.31","$37,337.53","$51,022,126,212","$700,734,471,386"
2021-07-25,"$34,290.29","$35,364.93","$33,881.84","$35,350.19","$20,856,685,287","$663,401,935,103"
2021-07-24,"$33,593.73","$34,490.39","$33,424.86","$34,292.45","$21,664,706,865","$643,518,528,651"
2021-07-23,"$32,305.96","$33,581.55","$32,057.89","$33,581.55","$22,552,046,192","$630,147,722,704"
2021-07-22,"$32,138.87","$32,576.40","$31,745.30","$32,313.11","$19,555,230,518","$606,316,858,335"
2021-07-21,"$29,796.29","$32,752.33","$29,526.18","$32,110.69","$28,203,024,559","$602,489,309,202"
2021-07-20,"$30,838.29","$31,006.19","$29,360.96","$29,807.35","$23,148,267,245","$559,244,324,356"
2021-07-19,"$31,800.01","$31,885.86","$30,563.74","$30,817.83","$20,434,789,545","$578,178,147,283"
2021-07-18,"$31,533.88","$32,399.00","$31,215.49","$31,796.81","$18,787,986,667","$596,513,309,277"
2021-07-17,"$31,397.31","$31,935.94","$31,223.99","$31,533.07","$18,895,018,942","$591,536,476,392"
2021-07-16,"$31,841.55","$32,218.41","$31,100.67","$31,421.54","$23,699,476,918","$589,415,807,378"
2021-07-15,"$32,827.87","$33,159.64","$31,175.71","$31,780.73","$21,300,524,237","$596,124,462,729"
2021-07-14,"$32,723.85","$33,061.40","$31,639.12","$32,822.35","$21,376,531,210","$615,635,042,692"
2021-07-13,"$33,125.47","$33,327.10","$32,261.42","$32,702.03","$19,120,856,669","$613,343,664,760"
2021-07-12,"$34,254.02","$34,592.16","$32,697.31","$33,155.85","$24,321,499,537","$621,827,984,940"
2021-07-11,"$33,509.08","$34,584.70","$33,346.74","$34,240.19","$20,108,729,370","$642,138,104,626"
2021-07-10,"$33,811.24","$34,209.07","$33,116.01","$33,520.52","$22,971,873,468","$628,615,338,753"
2021-07-09,"$32,861.67","$34,042.29","$32,318.88","$33,798.01","$27,436,021,028","$633,784,072,787"
2021-07-08,"$33,889.61","$33,907.91","$32,133.18","$32,877.37","$29,910,396,946","$616,492,852,697"
2021-07-07,"$34,225.68","$34,997.66","$33,839.29","$33,855.33","$24,796,027,477","$634,802,817,185"
2021-07-06,"$33,723.51","$35,038.54","$33,599.92","$34,235.19","$26,501,259,870","$641,899,161,594"
2021-07-05,"$35,284.34","$35,284.34","$33,213.66","$33,746.00","$26,721,554,282","$632,696,207,200"
2021-07-04,"$34,665.56","$35,937.57","$34,396.48","$35,287.78","$24,924,307,911","$661,574,836,315"
2021-07-03,"$33,854.42","$34,909.26","$33,402.70","$34,668.55","$24,383,958,643","$649,939,701,346"
2021-07-02,"$33,549.60","$33,939.59","$32,770.68","$33,897.05","$38,728,974,942","$635,450,784,106"
2021-07-01,"$35,035.98","$35,035.98","$32,883.78","$33,572.12","$37,838,957,079","$629,339,325,298"
2021-06-30,"$35,908.39","$36,074.76","$34,086.15","$35,040.84","$34,059,036,099","$656,852,513,238"
2021-06-29,"$34,475.56","$36,542.11","$34,252.48","$35,867.78","$37,901,460,044","$672,333,423,402"
2021-06-28,"$34,679.12","$35,219.89","$33,902.08","$34,434.34","$33,892,523,752","$645,442,759,493"
2021-06-27,"$32,287.52","$34,656.13","$32,071.76","$34,649.64","$35,511,640,894","$649,461,677,014"
2021-06-26,"$31,594.66","$32,637.59","$30,184.50","$32,186.28","$38,585,385,521","$603,276,028,309"
2021-06-25,"$34,659.10","$35,487.25","$31,350.88","$31,637.78","$40,230,904,226","$592,978,211,189"
2021-06-24,"$33,682.80","$35,228.85","$32,385.21","$34,662.44","$33,123,368,116","$649,643,997,441"
2021-06-23,"$32,515.71","$34,753.41","$31,772.63","$33,723.03","$46,317,108,925","$632,011,278,436"
2021-06-22,"$31,622.38","$33,292.45","$28,893.62","$32,505.66","$58,964,353,058","$609,180,639,390"
2021-06-21,"$35,641.15","$35,721.64","$31,295.94","$31,676.69","$52,809,038,594","$593,627,575,887"
2021-06-20,"$35,563.14","$36,059.48","$33,432.08","$35,698.30","$36,664,034,054","$668,968,868,770"
2021-06-19,"$35,854.53","$36,457.80","$34,933.06","$35,615.87","$31,207,279,719","$667,400,859,261"
2021-06-18,"$38,099.48","$38,187.26","$35,255.85","$35,787.24","$36,200,887,275","$670,589,444,851"
2021-06-17,"$38,341.42","$39,513.67","$37,439.67","$38,053.50","$37,096,670,047","$713,025,631,758"
2021-06-16,"$40,168.69","$40,516.78","$38,176.03","$38,347.06","$39,211,635,100","$718,494,773,612"
2021-06-15,"$40,427.17","$41,295.27","$39,609.47","$40,406.27","$46,420,149,185","$757,029,874,725"
2021-06-14,"$39,016.97","$40,978.36","$38,757.28","$40,218.48","$43,148,914,673","$753,471,062,534"
2021-06-13,"$35,555.79","$39,322.78","$34,864.11","$39,097.86","$40,669,112,838","$732,465,659,892"
2021-06-12,"$37,340.14","$37,408.93","$34,728.19","$35,552.52","$37,924,228,550","$666,018,173,753"
2021-06-11,"$36,697.03","$37,608.69","$36,044.45","$37,334.40","$38,699,736,985","$699,368,729,838"
2021-06-10,"$37,389.52","$38,334.33","$35,847.59","$36,702.60","$43,576,032,854","$687,509,421,226"
2021-06-09,"$33,416.98","$37,537.37","$32,475.87","$37,345.12","$53,972,919,008","$699,516,138,698"
2021-06-08,"$33,589.52","$34,017.39","$31,114.44","$33,472.63","$49,902,050,442","$626,954,944,879"
2021-06-07,"$35,835.27","$36,790.57","$33,480.64","$33,560.71","$33,683,936,663","$628,572,961,759"
2021-06-06,"$35,538.61","$36,436.42","$35,304.58","$35,862.38","$28,913,440,585","$671,652,557,855"
2021-06-05,"$36,880.16","$37,917.71","$34,900.41","$35,551.96","$35,959,473,399","$665,804,639,833"
2021-06-04,"$39,242.49","$39,242.49","$35,717.72","$36,894.41","$41,831,090,187","$690,915,072,093"
2021-06-03,"$37,599.41","$39,478.95","$37,243.97","$39,208.77","$35,460,750,427","$734,224,332,239"
2021-06-02,"$36,699.92","$38,231.34","$35,966.31","$37,575.18","$33,070,867,190","$703,599,671,425"
2021-06-01,"$37,293.79","$37,896.74","$35,787.09","$36,684.92","$34,639,423,297","$686,891,021,225"
2021-05-31,"$35,658.59","$37,468.25","$34,241.94","$37,332.85","$39,009,847,639","$698,990,486,185"
2021-05-30,"$34,607.41","$36,400.67","$33,520.74","$35,678.13","$31,646,080,921","$667,976,638,398"
2021-05-29,"$35,684.16","$37,234.50","$33,693.93","$34,616.07","$45,231,013,335","$648,061,013,208"
2021-05-28,"$38,507.08","$38,856.97","$34,779.04","$35,697.61","$55,200,191,952","$668,283,930,067"
2021-05-27,"$39,316.89","$40,379.62","$37,247.90","$38,436.97","$43,210,968,721","$719,538,129,128"
2021-05-26,"$38,392.62","$40,782.08","$37,905.83","$39,294.20","$51,346,735,160","$735,556,411,166"
2021-05-25,"$38,795.78","$39,776.35","$36,581.43","$38,402.22","$56,211,915,803","$718,829,377,408"
2021-05-24,"$34,700.36","$39,835.14","$34,551.08","$38,705.98","$67,359,584,098","$724,332,072,424"
2021-05-23,"$37,531.45","$38,289.22","$31,227.34","$34,770.58","$78,469,274,361","$650,686,270,744"
2021-05-22,"$37,371.03","$38,831.05","$35,383.68","$37,536.63","$57,377,273,240","$702,449,253,648"
2021-05-21,"$40,596.95","$42,172.17","$33,616.45","$37,304.69","$82,051,616,861","$698,108,789,817"
2021-05-20,"$36,753.67","$42,462.98","$35,050.62","$40,782.74","$88,281,943,359","$763,195,929,022"
2021-05-19,"$42,944.98","$43,546.12","$30,681.50","$37,002.44","$126,358,098,747","$692,452,570,147"
2021-05-18,"$43,488.06","$45,812.46","$42,367.83","$42,909.40","$56,187,365,084","$802,974,346,863"
2021-05-17,"$46,415.90","$46,623.56","$42,207.29","$43,537.51","$74,903,638,450","$814,701,646,509"
2021-05-16,"$46,716.64","$49,720.04","$43,963.35","$46,456.06","$64,047,871,555","$869,279,076,502"
2021-05-15,"$49,855.49","$50,639.67","$46,664.14","$46,760.19","$59,161,047,474","$874,931,019,742"
2021-05-14,"$49,682.98","$51,438.12","$48,868.58","$49,880.53","$55,737,497,453","$933,276,901,265"
2021-05-13,"$49,735.43","$51,330.84","$46,980.02","$49,716.19","$96,721,152,926","$930,161,010,060"
2021-05-12,"$56,714.53","$57,939.36","$49,150.53","$49,150.53","$75,215,403,907","$919,527,847,950"
2021-05-11,"$55,847.24","$56,872.54","$54,608.65","$56,704.57","$61,308,396,325","$1,060,790,877,192"
2021-05-10,"$58,250.87","$59,519.35","$54,071.46","$55,859.80","$71,776,546,298","$1,044,927,337,818"
2021-05-09,"$58,877.39","$59,210.88","$56,482.00","$58,232.32","$65,906,690,347","$1,089,244,557,676"
2021-05-08,"$57,352.77","$59,464.61","$56,975.21","$58,803.78","$65,382,980,634","$1,099,863,941,004"
2021-05-07,"$56,413.95","$58,606.63","$55,321.85","$57,356.40","$68,434,023,376","$1,072,727,435,210"
2021-05-06,"$57,441.31","$58,363.31","$55,382.51","$56,396.51","$69,523,285,106","$1,054,714,918,675"
2021-05-05,"$53,252.16","$57,911.36","$52,969.06","$57,424.01","$69,241,316,747","$1,073,873,012,867"
2021-05-04,"$57,214.18","$57,214.18","$53,191.43","$53,333.54","$68,564,706,967","$997,324,142,593"
2021-05-03,"$56,620.27","$58,973.31","$56,590.87","$57,200.29","$51,713,139,031","$1,069,563,935,453"
2021-05-02,"$57,825.86","$57,902.59","$56,141.91","$56,631.08","$38,177,405,335","$1,058,862,005,057"
2021-05-01,"$57,714.66","$58,448.34","$57,052.27","$57,828.05","$42,836,427,360","$1,081,174,515,343"
2021-04-30,"$53,568.66","$57,900.72","$53,129.60","$57,750.18","$52,395,931,985","$1,079,669,884,320"
2021-04-29,"$54,858.09","$55,115.84","$52,418.03","$53,555.11","$46,088,929,780","$1,001,193,634,072"
2021-04-28,"$55,036.64","$56,227.21","$53,887.92","$54,824.70","$48,000,572,955","$1,024,888,208,734"
2021-04-27,"$54,030.30","$55,416.96","$53,319.19","$55,033.12","$49,448,222,757","$1,028,733,359,592"
2021-04-26,"$49,077.79","$54,288.00","$48,852.80","$54,021.75","$58,284,039,825","$1,009,780,042,661"
2021-04-25,"$50,052.83","$50,506.02","$47,159.49","$49,004.25","$46,117,114,240","$915,955,943,256"
2021-04-24,"$51,143.23","$51,167.56","$48,805.28","$50,050.87","$49,014,494,781","$935,471,648,213"
2021-04-23,"$51,739.81","$52,120.79","$47,714.66","$51,093.65","$86,668,667,320","$954,919,230,092"
2021-04-22,"$53,857.11","$55,410.23","$50,583.81","$51,762.27","$74,798,630,778","$967,372,472,375"
2021-04-21,"$56,471.13","$56,757.97","$53,695.47","$53,906.09","$54,926,612,466","$1,007,389,534,360"
2021-04-20,"$55,681.79","$57,062.15","$53,448.05","$56,473.03","$67,849,323,955","$1,055,323,526,514"
2021-04-19,"$56,191.58","$57,520.05","$54,368.59","$55,724.27","$65,344,865,159","$1,041,287,672,154"
2021-04-18,"$60,701.89","$61,057.46","$52,829.54","$56,216.19","$97,468,872,758","$1,050,445,401,610"
2021-04-17,"$61,529.92","$62,572.18","$60,361.35","$60,683.82","$66,138,759,198","$1,133,882,479,237"
2021-04-16,"$63,258.51","$63,594.72","$60,222.53","$61,572.79","$84,293,007,468","$1,150,457,156,740"
2021-04-15,"$63,075.20","$63,821.67","$62,208.96","$63,314.01","$60,954,381,579","$1,182,945,492,744"
2021-04-14,"$63,523.75","$64,863.10","$61,554.80","$63,109.70","$77,451,779,687","$1,179,061,093,980"
2021-04-13,"$59,890.02","$63,742.28","$59,869.96","$63,503.46","$69,983,454,362","$1,186,364,044,140"
2021-04-12,"$60,175.94","$61,253.04","$59,589.87","$59,893.45","$51,828,688,519","$1,118,871,072,069"
2021-04-11,"$59,846.23","$60,790.56","$59,289.80","$60,204.96","$46,280,252,580","$1,124,635,848,775"
2021-04-10,"$58,253.78","$61,276.67","$58,038.71","$59,793.24","$58,238,470,525","$1,116,889,802,872"
2021-04-09,"$58,326.56","$58,937.05","$57,807.86","$58,245.00","$46,655,208,546","$1,087,911,057,870"
2021-04-08,"$56,099.91","$58,338.74","$55,879.08","$58,323.95","$53,053,855,641","$1,089,334,328,139"
2021-04-07,"$58,186.51","$58,731.14","$55,604.02","$56,048.94","$75,645,303,584","$1,046,793,054,753"
2021-04-06,"$59,171.93","$59,479.58","$57,646.81","$58,192.36","$66,058,027,988","$1,086,769,183,295"
2021-04-05,"$58,760.87","$59,891.30","$57,694.83","$59,057.88","$60,706,272,115","$1,102,880,790,089"
2021-04-04,"$57,604.84","$58,913.75","$57,168.68","$58,758.56","$50,749,662,970","$1,097,232,660,348"
2021-04-03,"$59,397.41","$60,110.27","$57,603.89","$57,603.89","$59,641,344,484","$1,075,617,261,180"
2021-04-02,"$59,098.88","$60,267.19","$58,869.28","$59,384.31","$58,727,860,620","$1,108,813,863,083"
2021-04-01,"$58,926.56","$59,586.07","$58,505.28","$59,095.81","$61,669,163,792","$1,103,377,830,758"
2021-03-31,"$58,930.28","$59,930.03","$57,726.42","$58,918.83","$65,520,826,225","$1,100,016,786,763"
2021-03-30,"$57,750.13","$59,447.22","$57,251.55","$58,917.69","$54,414,116,432","$1,099,939,890,804"
2021-03-29,"$55,947.90","$58,342.10","$55,139.34","$57,750.20","$57,625,587,027","$1,078,088,296,477"
2021-03-28,"$55,974.94","$56,610.31","$55,071.11","$55,950.75","$47,686,580,918","$1,044,446,559,059"
2021-03-27,"$55,137.57","$56,568.22","$54,242.91","$55,973.51","$47,266,542,233","$1,044,814,147,412"
2021-03-26,"$51,683.01","$55,137.31","$51,579.86","$55,137.31","$56,652,197,978","$1,029,150,697,411"
2021-03-25,"$52,726.75","$53,392.39","$50,856.57","$51,704.16","$67,999,812,841","$965,028,762,666"
2021-03-24,"$54,710.49","$57,262.38","$52,514.33","$52,774.26","$70,567,223,787","$984,948,142,898"
2021-03-23,"$54,511.66","$55,985.44","$53,470.69","$54,738.94","$56,435,023,914","$1,021,563,479,682"
2021-03-22,"$57,517.89","$58,471.48","$54,288.16","$54,529.15","$56,521,454,974","$1,017,595,269,117"
2021-03-21,"$58,309.91","$58,767.90","$56,005.62","$57,523.42","$51,943,414,539","$1,073,417,235,408"
2021-03-20,"$58,332.26","$60,031.29","$58,213.30","$58,313.64","$50,361,731,222","$1,088,105,221,978"
2021-03-19,"$57,850.44","$59,498.38","$56,643.70","$58,346.65","$49,063,873,786","$1,088,666,450,746"
2021-03-18,"$58,893.08","$60,116.25","$54,253.58","$57,858.92","$55,746,041,000","$1,079,511,086,884"
2021-03-17,"$56,825.83","$58,969.82","$54,528.63","$58,870.89","$60,258,313,191","$1,098,337,655,327"
2021-03-16,"$55,840.79","$56,833.18","$53,555.03","$56,804.90","$59,749,798,599","$1,059,745,818,423"
2021-03-15,"$59,267.43","$60,540.99","$55,393.17","$55,907.20","$66,419,369,890","$1,042,946,024,860"
2021-03-14,"$61,221.13","$61,597.92","$59,302.32","$59,302.32","$43,901,225,564","$1,106,226,132,525"
2021-03-13,"$57,343.37","$61,683.86","$56,217.97","$61,243.08","$60,669,829,814","$1,142,369,158,667"
2021-03-12,"$57,821.22","$57,996.62","$55,376.65","$57,332.09","$55,689,944,702","$1,069,366,321,844"
2021-03-11,"$55,963.18","$58,091.06","$54,484.59","$57,805.12","$56,772,343,595","$1,078,135,604,118"
2021-03-10,"$54,824.01","$57,258.25","$53,290.89","$56,008.55","$57,295,577,614","$1,044,580,057,477"
2021-03-09,"$52,272.97","$54,824.12","$51,981.83","$54,824.12","$50,912,227,385","$1,022,439,972,862"
2021-03-08,"$51,174.12","$52,314.07","$49,506.05","$52,246.52","$48,597,428,048","$974,321,883,623"
2021-03-07,"$48,918.68","$51,384.37","$48,918.68","$51,206.69","$43,137,459,378","$954,880,954,585"
2021-03-06,"$48,899.23","$49,147.22","$47,257.53","$48,912.38","$34,363,564,661","$912,054,166,029"
2021-03-05,"$48,527.03","$49,396.43","$46,542.51","$48,927.30","$48,625,928,883","$912,285,065,720"
2021-03-04,"$50,522.31","$51,735.09","$47,656.93","$48,561.17","$52,343,816,680","$905,414,104,807"
2021-03-03,"$48,415.81","$52,535.14","$48,274.32","$50,538.24","$53,220,811,975","$942,236,576,905"
2021-03-02,"$49,612.11","$50,127.51","$47,228.85","$48,378.99","$47,530,897,720","$901,933,683,269"
2021-03-01,"$45,159.50","$49,784.02","$45,115.09","$49,631.24","$53,891,300,112","$925,235,527,882"
2021-02-28,"$46,194.02","$46,716.43","$43,241.62","$45,137.77","$53,443,887,451","$841,428,977,515"
2021-02-27,"$46,344.77","$48,253.27","$45,269.03","$46,188.45","$45,910,946,382","$860,978,135,421"
2021-02-26,"$47,180.46","$48,370.79","$44,454.84","$46,339.76","$350,967,941,479","$863,752,275,053"
2021-02-25,"$49,709.08","$51,948.97","$47,093.85","$47,093.85","$54,506,565,949","$877,766,126,138"
2021-02-24,"$48,835.09","$51,290.14","$47,213.50","$49,705.33","$63,695,521,388","$926,393,090,751"
2021-02-23,"$54,204.93","$54,204.93","$45,290.59","$48,824.43","$106,102,492,824","$909,925,854,460"
2021-02-22,"$57,532.74","$57,533.39","$48,967.57","$54,207.32","$92,052,420,332","$1,010,205,212,981"
2021-02-21,"$56,068.57","$58,330.57","$55,672.61","$57,539.94","$51,897,585,191","$1,072,263,294,725"
2021-02-20,"$55,887.34","$57,505.23","$54,626.56","$56,099.52","$68,145,460,026","$1,045,371,087,640"
2021-02-19,"$51,675.98","$56,113.65","$50,937.28","$55,888.13","$63,495,496,918","$1,041,380,696,669"
2021-02-18,"$52,140.97","$52,474.11","$51,015.76","$51,679.80","$52,054,723,579","$962,915,078,024"
2021-02-17,"$49,207.28","$52,533.91","$49,072.38","$52,149.01","$80,820,545,404","$971,611,626,454"
2021-02-16,"$47,944.46","$50,341.10","$47,201.30","$49,199.87","$77,049,582,886","$916,623,418,254"
2021-02-15,"$48,696.54","$48,875.57","$46,347.48","$47,945.06","$77,069,903,166","$893,210,080,039"
